Order_ID,Custome_id,Product_id,Region,Discount_Pct,Sales,Profit,Order_date,Quantity,Product_Price
O25-003574,CUST01409,P0042,South,0.08,50.67,6.17,01-03-2025,2,27.54
O25-008189,CUST00274,P0038,North,0.12,49,6.99,29-10-2025,4,13.92
O25-000120,CUST01233,P0023,East,0.09,244.75,24.99,11-03-2025,1,268.96
O25-004976,CUST01383,P0029,North,0.11,1503.64,85.75,08-12-2025,6,281.58
O25-000748,CUST00069,P0001,South,0.09,5439.71,921.04,12-02-2025,5,1195.54
O25-002998,CUST00501,P0033,East,0.34,34.16,1.38,24-04-2025,4,12.94
O25-005664,CUST01126,P0021,East,0.1,779.65,41.95,05-09-2025,4,216.57
O25-004515,CUST00805,P0044,West,0.16,26.39,2.16,30-10-2025,2,15.71
O25-006154,CUST00982,P0008,East,0.1,518.9,114.26,24-04-2025,1,576.56
O25-000556,CUST00785,P0041,North,0.13,175.86,20.08,05-04-2025,6,33.69
O25-002275,CUST00042,P0019,West,0.05,381.27,31.22,05-09-2025,1,401.34
O25-001361,CUST00942,P0045,North,0.22,4.27,0.59,22-08-2025,2,2.74
O25-000036,CUST00234,P0009,North,0.13,62.85,13.1,28-11-2025,3,24.08045977
O25-009582,CUST01251,P0021,North,0.33,898.39,13.35,14-03-2025,6,223.48
O25-008021,CUST00600,P0003,North,0.08,6578.74,1635.5,06-03-2025,5,1430.16
O25-005565,CUST01468,P0002,West,0.03,512.57,107.1,28-11-2025,1,528.42
O25-000022,CUST01398,P0041,West,0.02,30.58,4.47,18-10-2025,1,31.2
O25-001286,CUST00511,P0002,West,0.16,867.08,132.91,27-08-2025,2,516.12
O25-003717,CUST01239,P0039,East,0.11,200.21,23.74,25-05-2025,16,14.06
O25-007538,CUST00950,P0001,South,0.4,6942.72,279.82,21-11-2025,10,1157.12
O25-001196,CUST01101,P0002,South,0.22,2846.68,405.34,07-06-2025,7,521.37
O25-001078,CUST01101,P0007,West,0.02,2031.51,424.6,03-07-2025,9,230.33
O25-005575,CUST00797,P0020,East,0.15,1491.43,44.55,25-12-2025,7,250.66
O25-004185,CUST00497,P0006,North,0.06,352.01,77.99,28-01-2025,1,374.48
O25-004118,CUST00216,P0013,North,0.03,20.1,4.38,29-12-2025,1,20.72
O25-007650,CUST00510,P0036,North,0.03,186.63,26.17,23-09-2025,10,19.24
O25-004204,CUST00633,P0001,West,0.16,976.7,150.86,28-06-2025,1,1162.74
O25-003358,CUST00847,P0034,West,0.2,8.28,0.49,08-01-2025,1,10.35
O25-000972,CUST00283,P0015,West,0.18,180.89,31.52,30-12-2025,4,55.15
O25-009242,CUST00186,P0040,East,0.04,87.03,14.28,04-05-2025,6,15.11
O25-001232,CUST01098,P0005,East,0.11,818.27,192.67,22-07-2025,2,459.7
O25-004322,CUST00246,P0032,North,0.21,999.67,5.4,14-04-2025,3,421.8
O25-006145,CUST01075,P0021,West,0.16,2254.29,57.03,25-08-2025,12,223.64
O25-001131,CUST00837,P0029,South,0.15,234.59,6.8,23-11-2025,1,275.99
O25-007726,CUST00612,P0024,East,0.14,2864.92,207.07,17-02-2025,5,666.26
O25-000303,CUST00220,P0028,East,0.15,301.68,37.53,21-10-2025,1,354.92
O25-004498,CUST00152,P0023,North,0,1356.95,202.53,27-11-2025,5,271.39
O25-005541,CUST00408,P0045,East,0.03,10.24,1.47,03-06-2025,4,2.64
O25-007779,CUST00959,P0003,South,0.31,7798.05,688.56,24-01-2025,8,1412.69
O25-004520,CUST01490,P0029,North,0.03,822.95,112.6,09-01-2025,3,282.8
O25-003593,CUST00399,P0039,West,0.18,44.74,2.48,04-11-2025,4,13.64
O25-005973,CUST01125,P0047,South,0.22,7.61,0.46,24-08-2025,1,9.76
O25-005255,CUST00551,P0012,South,0.22,59.47,6.01,02-11-2025,4,19.06
O25-004684,CUST00409,P0028,West,0.08,2062.22,204.05,13-04-2025,6,373.59
O25-008295,CUST00169,P0003,South,0.34,6374.21,434.22,05-06-2025,7,1379.7
O25-009001,CUST00785,P0039,North,0,41.28,6.45,18-05-2025,3,13.76
O25-006934,CUST00482,P0026,East,0.19,2812.38,230.93,11-04-2025,8,434.01
O25-003096,CUST00408,P0047,South,0.31,26.94,0.39,21-11-2025,4,9.76
O25-002517,CUST00008,P0002,East,0.11,471.05,97.14,04-01-2025,1,529.27
O25-002418,CUST00298,P0034,East,0.06,36.89,4.51,22-07-2025,4,9.81
O25-008635,CUST00267,P0015,South,0.4,33.53,0.85,25-12-2025,1,55.89
O25-003937,CUST01333,P0047,East,0.14,24.95,2.67,16-02-2025,3,9.67
O25-006055,CUST00028,P0018,North,0.08,414.7,16.54,18-01-2025,1,450.76
O25-001449,CUST00142,P0006,East,0.22,1553.21,289.69,01-05-2025,5,398.26
O25-005032,CUST00630,P0042,North,0.02,82.56,13.34,15-10-2025,3,28.08
O25-009239,CUST01227,P0040,North,0,29.52,4.89,30-12-2025,2,14.76
O25-001354,CUST01255,P0042,West,0.16,65.95,5.51,25-12-2025,3,26.17
O25-004878,CUST00871,P0045,North,0.18,11.03,1.39,27-10-2025,5,2.69
O25-007978,CUST00979,P0019,North,0.38,256.79,8.78,27-12-2025,1,414.18
O25-008654,CUST00282,P0016,West,0.23,262.49,38.99,25-05-2025,5,68.18
O25-004569,CUST01485,P0046,North,0.11,22.21,3.21,03-10-2025,8,3.12
O25-005622,CUST00058,P0016,North,0.1,115.4,28.31,09-01-2025,2,64.11
O25-002174,CUST00515,P0005,North,0.14,758.52,163.86,27-11-2025,2,441
O25-003916,CUST01362,P0022,South,0.16,2869.61,-31.07,17-10-2025,5,683.24
O25-009577,CUST01118,P0009,North,0.2,109.97,19.55,17-01-2025,6,22.91
O25-006400,CUST01286,P0014,East,0.13,35.51,6.78,11-03-2025,1,40.82
O25-008521,CUST01452,P0017,North,0.13,1088.1,64.91,27-03-2025,7,178.67
O25-000551,CUST00699,P0025,South,0.08,1967.25,99.88,07-09-2025,4,534.58
O25-007161,CUST00919,P0003,South,0.11,21219.22,3273.5,25-06-2025,17,1402.46
O25-002431,CUST00919,P0028,West,0,3601.3,130.18,16-12-2025,10,360.13
O25-000783,CUST01223,P0008,North,0.22,449.69,93.08,19-11-2025,1,576.53
O25-008864,CUST01461,P0022,North,0.13,1787.54,149.69,28-01-2025,3,684.88
O25-006321,CUST00824,P0033,South,0.13,11.83,0.35,09-06-2025,1,13.6
O25-008911,CUST00189,P0020,East,0.21,197.15,9.8,14-01-2025,1,249.56
O25-003205,CUST00268,P0007,East,0.04,819.92,206.3,25-06-2025,4,213.52
O25-002608,CUST01411,P0045,West,0.02,26.85,4.74,31-10-2025,10,2.74
O25-002375,CUST00513,P0028,North,0.25,1411.2,19.2,11-04-2025,5,376.32
O25-001383,CUST00989,P0038,North,0.14,11.43,1.36,26-08-2025,1,13.29
O25-005797,CUST01474,P0007,East,0.35,131.28,19.4,07-02-2025,1,201.97
O25-002767,CUST00338,P0046,West,0.02,8.47,1.18,30-11-2025,3,2.88
O25-007806,CUST01321,P0026,West,0.15,1044.58,54.56,16-04-2025,3,409.64
O25-001469,CUST01447,P0040,South,0.21,21.9,1.74,25-05-2025,2,13.86
O25-006526,CUST00733,P0023,West,0.12,713.78,9.87,22-10-2025,3,270.37
O25-002648,CUST00343,P0036,West,0.08,18.59,2.34,04-06-2025,1,20.21
O25-009890,CUST01017,P0008,North,0.06,4632.53,995.12,17-10-2025,9,547.58
O25-001501,CUST01056,P0003,South,0.31,5668.2,391.05,22-11-2025,6,1369.13
O25-003939,CUST00012,P0030,South,0.21,232.88,-8.19,23-05-2025,3,98.26
O25-009249,CUST00695,P0015,East,0.22,160.84,24.48,05-04-2025,4,51.55
O25-002609,CUST00086,P0048,West,0,3.86,0.48,01-12-2025,2,2.1
O25-000515,CUST01051,P0019,North,0.24,3763.09,-134.46,24-05-2025,12,412.62
O25-009174,CUST01478,P0012,West,0.03,37.33,9.58,18-08-2025,2,19.24
O25-006222,CUST01405,P0037,East,0.36,8.26,0.44,19-11-2025,1,12.9
O25-002539,CUST00082,P0013,South,0.09,76.48,14.36,17-09-2025,4,21.01
O25-004039,CUST00115,P0024,West,0.2,506.84,10.43,23-11-2025,1,633.55
O25-009706,CUST00360,P0037,South,0.16,63.96,8.38,29-10-2025,6,12.69
O25-007794,CUST01359,P0047,West,0.24,92.48,9.3,15-10-2025,13,9.36
O25-002457,CUST00609,P0031,North,0.05,1020.07,150.9,30-11-2025,4,268.44
O25-001447,CUST01408,P0022,South,0.2,2254.43,-115.43,28-04-2025,4,704.51
O25-006524,CUST00344,P0011,North,0.1,79.59,19.14,06-05-2025,1,88.43
O25-005600,CUST00952,P0021,North,0.2,1499.04,83.47,11-09-2025,9,208.2
O25-006146,CUST00112,P0024,West,0.17,1594.47,64.09,09-10-2025,3,640.35
O25-001998,CUST01032,P0001,East,0.11,1043.33,200.97,23-05-2025,1,1172.28
O25-007966,CUST00512,P0006,South,0.14,333.16,53.76,11-08-2025,1,387.3953488
O25-005317,CUST01035,P0002,South,0.18,1275.51,161.06,16-11-2025,3,518.5
O25-005618,CUST00026,P0003,East,0.04,2654.07,704.84,03-05-2025,2,1382.328125
O25-009682,CUST00601,P0039,East,0.04,13.24,2.42,22-08-2025,1,13.79
O25-005685,CUST00983,P0009,West,0.12,61.46,9.58,26-01-2025,3,23.28
O25-001489,CUST00428,P0046,North,0.08,13.48,2.38,13-07-2025,5,2.93
O25-002103,CUST00286,P0014,North,0.06,113.96,28.74,30-10-2025,3,40.41
O25-004041,CUST00671,P0046,North,0.03,25.49,4.76,24-12-2025,9,2.92
O25-008891,CUST00365,P0002,North,0.07,962.61,278.99,23-03-2025,2,517.53
O25-002446,CUST01025,P0035,East,0.23,3.07,0.45,25-07-2025,1,3.99
O25-001058,CUST01106,P0011,North,0.33,56.12,7.37,08-04-2025,1,83.76
O25-005357,CUST00263,P0002,South,0.16,3436.47,576.81,07-11-2025,8,511.38
O25-001601,CUST01410,P0022,South,0.14,1173.76,27.36,20-01-2025,2,682.42
O25-006737,CUST00132,P0032,South,0.12,1147.13,10.05,13-07-2025,3,434.52
O25-005264,CUST01148,P0006,North,0.22,1221.36,265.79,04-06-2025,4,391.46
O25-000916,CUST00598,P0003,South,0.23,3263.48,340.11,17-10-2025,3,1412.76
O25-000327,CUST00395,P0008,East,0,2620.59,497.92,28-12-2025,6,574.69
O25-004604,CUST00713,P0021,North,0.19,852.57,57.73,17-10-2025,5,210.51
O25-009419,CUST00198,P0027,North,0.13,183.2,19.58,31-07-2025,2,105.29
O25-003979,CUST00575,P0046,North,0.22,2.31,0.3,20-12-2025,1,2.96
O25-000753,CUST01270,P0011,South,0.34,152.58,16.3,05-11-2025,3,77.06
O25-003915,CUST00891,P0010,East,0.15,158.59,30.66,04-10-2025,2,93.29
O25-008511,CUST01059,P0031,North,0.1,2497.95,171.98,28-09-2025,10,277.55
O25-004397,CUST01284,P0006,North,0.15,937,159.13,16-04-2025,3,367.45
O25-002806,CUST00915,P0009,West,0.08,113.67,21.71,17-06-2025,5,24.71
O25-007048,CUST00828,P0021,North,0.19,173.68,9.07,03-09-2025,1,214.42
O25-005055,CUST00386,P0037,North,0.03,37.83,6.34,07-04-2025,3,13
O25-000247,CUST01117,P0003,East,0.18,7170.85,1741.08,04-05-2025,6,1457.49
O25-007523,CUST01016,P0022,North,0.1,1921.43,189.04,05-03-2025,3,711.64
O25-007347,CUST00954,P0033,South,0.12,57.82,6.52,04-12-2025,5,13.14
O25-000676,CUST00105,P0041,North,0.25,24.26,1.89,20-09-2025,1,32.34
O25-007723,CUST00583,P0034,North,0.23,7.67,0.8,27-05-2025,1,9.96
O25-001939,CUST00208,P0023,East,0.19,478.66,38.09,12-01-2025,2,295.4691358
O25-003528,CUST00608,P0045,South,0.22,2.11,0.12,26-03-2025,1,2.7
O25-006050,CUST00540,P0033,North,0.02,12.73,2.33,29-05-2025,1,12.99
O25-005382,CUST01447,P0021,North,0.16,189.25,15.44,12-09-2025,1,225.3
O25-000297,CUST00499,P0033,West,0.12,34.61,3.3,19-11-2025,3,13.11
O25-002028,CUST00953,P0044,South,0.09,13.71,1.55,04-07-2025,1,15.07
O25-001497,CUST00500,P0027,West,0.07,191.64,12.78,19-05-2025,2,103.03
O25-003201,CUST00195,P0026,East,0.04,419.54,48.98,01-10-2025,1,437.02
O25-000763,CUST00521,P0031,North,0.18,873.73,46.19,29-10-2025,4,266.38
O25-000246,CUST01371,P0003,East,0.05,1323.03,256.03,27-03-2025,1,1392.66
O25-008990,CUST00893,P0012,West,0,57.15,9.01,30-11-2025,3,19.05
O25-000112,CUST00423,P0045,North,0.23,10.13,0.69,25-01-2025,5,2.63
O25-008202,CUST01037,P0031,North,0.05,515,69.27,15-03-2025,2,271.05
O25-002980,CUST00562,P0022,South,0.13,1173.73,-10.08,21-04-2025,2,674.56
O25-002002,CUST00311,P0028,North,0.15,305.88,37.04,18-09-2025,1,359.86
O25-004097,CUST00454,P0047,East,0.24,64.91,4.36,28-03-2025,9,9.49
O25-008602,CUST01342,P0029,South,0.08,1785.36,146.85,25-03-2025,7,277.23
O25-008879,CUST00962,P0029,South,0.18,459.33,26.13,07-07-2025,2,280.08
O25-008707,CUST00229,P0018,North,0.18,703.45,46.18,21-09-2025,2,428.93
O25-005808,CUST01227,P0029,North,0.18,226.61,17.4,11-03-2025,1,276.35
O25-009282,CUST00022,P0029,East,0.14,717.01,49.6,02-05-2025,3,277.91
O25-008283,CUST00036,P0029,North,0.16,232.09,4.78,14-08-2025,1,276.297619
O25-004595,CUST00893,P0033,North,0.11,23.23,3.35,01-12-2025,2,13.05
O25-003782,CUST00547,P0046,West,0.22,29.71,0.76,19-12-2025,13,2.93
O25-007326,CUST00222,P0029,North,0.16,1407.57,73.56,24-09-2025,6,279.28
O25-004335,CUST00011,P0031,West,0.13,1672.37,132.14,12-10-2025,7,274.61
O25-002569,CUST01076,P0032,East,0.06,1572.58,178.83,13-08-2025,4,418.24
O25-002514,CUST01093,P0025,West,0.08,3489.32,69.29,17-11-2025,7,541.82
O25-001259,CUST00883,P0045,West,0.07,7.73,1.29,29-01-2025,3,2.77
O25-006354,CUST01416,P0033,North,0.24,77.76,8.47,19-10-2025,8,12.79
O25-001995,CUST00307,P0034,North,0.07,83.62,11.87,18-11-2025,9,9.99
O25-006301,CUST00539,P0008,North,0.08,3210.21,861,30-12-2025,6,581.56
O25-001265,CUST01240,P0015,East,0.35,140.06,20.44,01-10-2025,4,53.87
O25-007714,CUST00004,P0013,North,0.04,122.23,29.41,28-09-2025,6,21.22
O25-000890,CUST00156,P0015,East,0.15,46.61,10.58,19-01-2025,1,54.84
O25-009445,CUST00004,P0014,East,0.05,195.98,51.13,25-01-2025,5,41.26
O25-001674,CUST01430,P0030,West,0.13,266.38,18.78,19-03-2025,3,102.0613027
O25-000261,CUST01110,P0029,West,0.15,1631.01,89.28,17-03-2025,7,274.12
O25-000363,CUST00998,P0037,West,0,12.99,2.49,10-09-2025,1,12.99
O25-003864,CUST00976,P0012,North,0.08,16.84,3.96,10-01-2025,1,18.3
O25-001359,CUST00444,P0003,East,0.04,2776.51,676.67,19-11-2025,2,1446.1
O25-005437,CUST00545,P0033,West,0.15,22.73,1.96,06-11-2025,2,13.37
O25-000059,CUST00410,P0003,West,0.1,2519.41,388.53,12-07-2025,2,1399.67
O25-008391,CUST00708,P0009,North,0.26,70.51,9.23,02-01-2025,4,23.82
O25-007844,CUST01185,P0027,South,0.27,149.39,-6.36,10-08-2025,2,102.32
O25-007587,CUST01421,P0006,West,0.39,235.81,25.75,31-08-2025,1,386.58
O25-009998,CUST01257,P0021,West,0.07,203.3,18.64,07-08-2025,1,218.6
O25-001620,CUST01304,P0004,East,0.3,1241.14,137.79,10-09-2025,2,886.53
O25-006587,CUST01124,P0005,West,0.4,512.4,24.39,08-01-2025,2,427
O25-004828,CUST01221,P0040,West,0.19,45.52,3.98,24-07-2025,4,14.05
O25-002146,CUST01274,P0018,East,0.24,2243.39,69.18,25-01-2025,7,421.69
O25-004971,CUST00616,P0019,South,0.16,661.84,21.91,24-10-2025,2,393.95
O25-001431,CUST00845,P0046,East,0.08,2.79,0.41,30-08-2025,1,3.03
O25-000923,CUST01345,P0020,West,0,994.32,67.24,25-06-2025,4,248.58
O25-000047,CUST01090,P0001,South,0.28,2606.6,414.62,22-05-2025,3,1206.76
O25-008983,CUST00842,P0026,South,0.16,1729.06,10.65,21-11-2025,5,411.68
O25-009414,CUST00214,P0008,West,0.14,503.52,88.72,06-07-2025,1,585.49
O25-004986,CUST01298,P0026,East,0.35,1093.27,15.27,22-09-2025,4,420.49
O25-003940,CUST01405,P0011,East,0.15,154.8,29.81,07-06-2025,2,91.06
O25-002128,CUST00828,P0028,West,0.27,760.11,35.49,02-02-2025,3,347.08
O25-003931,CUST00578,P0008,West,0.1,1580.77,220.95,13-07-2025,3,585.47
O25-003750,CUST01056,P0019,South,0.12,720.79,16.73,10-01-2025,2,409.54
O25-008355,CUST00710,P0048,West,0.08,3.7,0.4,24-09-2025,2,2.01
O25-006688,CUST00568,P0034,North,0.01,50.34,7.78,16-05-2025,5,10.17
O25-009044,CUST00915,P0037,East,0.28,36.78,1.72,22-08-2025,4,12.77
O25-005899,CUST00572,P0001,West,0.16,16585.77,2818.65,20-05-2025,16,1234.06
O25-005175,CUST00747,P0048,West,0.14,7.33,0.53,25-07-2025,4,2.13
O25-005267,CUST01022,P0020,West,0.11,1160.78,60.8,21-06-2025,5,260.85
O25-008127,CUST00825,P0009,West,0.11,148.83,24.96,17-06-2025,7,23.89
O25-000505,CUST00617,P0006,South,0.12,1762.64,323.37,13-03-2025,5,400.6
O25-000884,CUST01436,P0041,West,0.14,486.26,56.33,16-01-2025,17,33.26
O25-007900,CUST01031,P0012,North,0.15,15.44,2.91,03-02-2025,1,18.16
O25-001322,CUST01444,P0017,East,0.33,614.72,7.22,31-03-2025,5,183.5
O25-002581,CUST00702,P0016,East,0.16,114.78,21.15,25-07-2025,2,68.32
O25-009032,CUST00498,P0044,North,0.31,21.49,1.39,13-03-2025,2,15.57
O25-003590,CUST01471,P0012,South,0.23,14.71,1.58,31-10-2025,1,19.11
O25-009168,CUST00833,P0025,South,0.1,484.24,29.8,20-10-2025,1,538.04
O25-005947,CUST00502,P0005,East,0.1,410.92,74.96,12-07-2025,1,456.58
O25-002262,CUST00061,P0029,East,0.15,2145.75,119.62,04-07-2025,9,280.49
O25-002790,CUST00280,P0025,West,0.15,840.26,20.42,30-09-2025,2,494.2705882
O25-005004,CUST00562,P0008,North,0.12,1017.03,234.8,19-05-2025,2,577.86
O25-009795,CUST00802,P0031,North,0.16,676.75,51.37,05-10-2025,3,268.55
O25-007948,CUST00688,P0024,North,0.13,1675.57,154.09,17-09-2025,3,641.98
O25-006129,CUST01072,P0008,East,0.08,3726.18,1076.81,16-11-2025,7,578.6
O25-002055,CUST01138,P0013,East,0.19,33.23,5.96,24-01-2025,2,20.51
O25-007435,CUST00637,P0043,North,0.26,52.55,4.77,13-07-2025,2,35.51
O25-006166,CUST00281,P0035,South,0.25,11.22,0.75,22-09-2025,4,3.74
O25-005780,CUST01432,P0036,South,0.27,45.99,0.96,06-07-2025,3,21
O25-008246,CUST00934,P0047,East,0.18,24.01,3.59,21-11-2025,3,9.76
O25-004488,CUST00490,P0009,South,0.4,68.94,3.73,28-06-2025,5,22.98
O25-009097,CUST00818,P0014,North,0.16,33.99,8.02,19-06-2025,1,40.46
O25-009261,CUST00055,P0029,North,0.12,484.12,32.5,18-07-2025,2,275.07
O25-008453,CUST00313,P0013,West,0.2,48.41,7.44,17-05-2025,3,20.17
O25-005295,CUST00153,P0002,West,0.28,3483.26,450.64,23-11-2025,9,537.54
O25-003186,CUST00595,P0001,North,0.37,756.59,104.84,07-01-2025,1,1200.94
O25-004029,CUST00430,P0037,East,0.2,20.8,2.33,09-04-2025,2,13
O25-005543,CUST00969,P0038,West,0.23,52.51,4.55,11-10-2025,5,13.64
O25-003190,CUST01202,P0029,East,0.22,452.81,20.18,22-10-2025,2,290.26
O25-007583,CUST00916,P0035,North,0.19,19,2.81,03-04-2025,6,3.91
O25-006429,CUST01264,P0001,West,0.03,1164.48,221.94,10-04-2025,1,1200.49
O25-009532,CUST01365,P0010,South,0.22,509.42,43.98,07-11-2025,7,93.3
O25-000680,CUST00815,P0020,West,0.11,226.58,9.99,12-06-2025,1,254.58
O25-007412,CUST00868,P0006,West,0.19,3083.51,467.69,12-07-2025,10,380.68
O25-002737,CUST00892,P0033,South,0.16,63.2,3.46,28-12-2025,6,12.54
O25-000589,CUST01202,P0008,West,0.01,3490.7,849.87,02-05-2025,6,587.66
O25-007630,CUST00412,P0016,North,0.35,122.36,20,16-02-2025,3,62.75
O25-009581,CUST01349,P0025,East,0.16,2595.5,5.4,27-07-2025,6,514.98
O25-002552,CUST00409,P0023,North,0.26,1722.14,129.97,28-01-2025,9,258.58
O25-002524,CUST01471,P0033,South,0.16,102.89,9.93,11-02-2025,9,13.61
O25-005202,CUST01138,P0035,West,0.24,6.2,0.2,01-04-2025,2,4.08
O25-000444,CUST00987,P0039,West,0.07,92.12,12,11-11-2025,7,14.15
O25-002117,CUST00122,P0004,South,0.22,3467.26,457.96,11-01-2025,5,889.04
O25-007725,CUST00626,P0039,North,0.33,54.91,3.13,17-06-2025,6,13.66
O25-001234,CUST00549,P0027,West,0.12,365.83,20.61,17-01-2025,4,103.93
O25-003442,CUST00748,P0036,East,0.14,33.68,3.4,25-03-2025,2,19.58
O25-002592,CUST00933,P0031,West,0.19,437.71,-10.15,21-10-2025,2,270.19
O25-009363,CUST01029,P0002,East,0.17,865.76,154,16-09-2025,2,521.54
O25-002241,CUST00583,P0029,East,0.21,1640.14,85.22,09-09-2025,7,296.59
O25-008161,CUST00490,P0032,West,0.1,768.42,14.1,01-10-2025,2,426.9
O25-007215,CUST00245,P0041,South,0.19,51.52,3.82,25-01-2025,2,31.8
O25-000127,CUST00270,P0009,West,0.16,113.3,18.23,07-12-2025,6,22.48
O25-008017,CUST01051,P0026,West,0.19,1826.23,28.76,31-08-2025,5,450.9209877
O25-009634,CUST01114,P0044,South,0.36,9.42,-0.02,08-12-2025,1,14.72
O25-009326,CUST00711,P0012,North,0.08,18.66,4.02,22-03-2025,1,20.28
O25-002997,CUST00415,P0013,West,0.05,73.57,14.62,28-10-2025,4,19.36052632
O25-002479,CUST00754,P0007,North,0.2,1494.29,282.83,05-12-2025,9,207.54
O25-004997,CUST00072,P0008,North,0.12,3039.06,568.84,06-01-2025,6,575.58
O25-009388,CUST01152,P0008,North,0.28,418.1,79.39,26-06-2025,1,580.7
O25-000087,CUST00103,P0003,East,0.34,945.56,136.96,14-12-2025,1,1432.666667
O25-005318,CUST00707,P0003,East,0.2,6860.3,1281.84,30-11-2025,6,1429.23
O25-001428,CUST00778,P0028,North,0.3,1245.02,27.18,07-05-2025,5,355.72
O25-009205,CUST01127,P0018,North,0.4,518.71,-14.43,04-06-2025,2,432.26
O25-001724,CUST00738,P0022,East,0.09,3700.19,220.98,23-10-2025,6,677.69
O25-009809,CUST00059,P0010,West,0.39,210.86,17.88,11-03-2025,4,86.42
O25-005360,CUST00979,P0013,North,0.17,207.37,50.88,27-12-2025,12,20.82
O25-005339,CUST00901,P0021,North,0.19,186.03,9.05,14-09-2025,1,229.67
O25-008196,CUST01487,P0006,West,0.16,636.79,132.29,24-07-2025,2,379.04
O25-004975,CUST01208,P0017,West,0.13,501.96,51.81,31-03-2025,3,192.32
O25-006112,CUST00767,P0009,South,0.23,36.74,5.98,29-06-2025,2,23.86
O25-004468,CUST00853,P0042,North,0.1,25.43,3.27,05-12-2025,1,28.26
O25-003761,CUST00295,P0019,East,0.21,328.18,18.69,26-01-2025,1,415.42
O25-009054,CUST01271,P0008,South,0.18,953.41,135.16,28-11-2025,2,581.35
O25-003093,CUST00142,P0033,North,0.14,32.84,4.26,21-06-2025,3,12.73
O25-005158,CUST01128,P0031,East,0.22,1519.63,16.76,28-11-2025,7,278.32
O25-001148,CUST00143,P0035,East,0.09,29.41,5.82,15-10-2025,8,4.04
O25-006275,CUST01242,P0003,West,0.24,2069.94,364.73,07-12-2025,2,1361.8
O25-000420,CUST01005,P0035,North,0.1,30.78,4.92,01-12-2025,9,3.8
O25-008315,CUST00492,P0046,North,0.09,2.71,0.35,08-09-2025,1,2.98
O25-007938,CUST01361,P0001,East,0.07,2184.55,577.05,22-08-2025,2,1174.49
O25-007163,CUST00783,P0037,South,0.16,34.12,2.41,17-07-2025,3,13.54
O25-003054,CUST00678,P0011,North,0.31,120.14,18.68,11-10-2025,2,87.06
O25-000293,CUST00147,P0044,East,0.14,103.41,9.5,29-08-2025,8,15.03
O25-000697,CUST00860,P0004,East,0.05,1740.19,389.6,25-02-2025,2,915.89
O25-000987,CUST01105,P0004,East,0.12,767.18,149.36,04-09-2025,1,871.79
O25-002326,CUST00536,P0031,North,0.04,528.12,55.69,06-11-2025,2,275.06
O25-000326,CUST00430,P0008,East,0.05,7059.26,1683.63,21-03-2025,13,571.6
O25-005429,CUST00829,P0017,East,0.19,433.58,35.97,17-06-2025,3,178.43
O25-009678,CUST01027,P0006,South,0.18,1284.87,258.23,13-04-2025,4,391.73
O25-004510,CUST01146,P0037,North,0.14,34.16,4.77,07-07-2025,3,13.24
