Order_ID,Customer_ID,Product_ID,Region,Discount_Pct,Sales,Profit,Order_date,Quantity,Product_Price
O24-008295,CUST00972,P0043,South,0.06,74.37,9.35,2024-03-27,2,39.56
O24-009001,CUST01437,P0011,East,0.12,77.48,17.29,2024-05-24,1,88.04545455
O24-006934,CUST00492,P0043,East,0.23,31.75,5.55,2024-03-28,1,41.23
O24-003096,CUST01211,P0009,East,0.09,64.13,15.4,2024-12-15,3,23.49
O24-002517,CUST00378,P0016,East,0.04,185.53,42.4,2024-07-11,3,64.42
O24-002418,CUST00073,P0005,West,0.08,1229.06,301.13,2024-06-27,3,445.31
O24-008635,CUST00617,P0018,North,0.08,401.22,57.08,2024-07-11,1,436.11
O24-003937,CUST01112,P0036,East,0.03,41.69,7.09,2024-04-09,2,21.49
O24-006055,CUST00483,P0028,South,0.09,4040.86,377.43,2024-07-27,10,444.05
O24-001449,CUST00914,P0009,West,0.06,90.95,23.46,2024-05-14,4,24.19
O24-005032,CUST01414,P0041,South,0.19,52.42,5.45,2024-12-11,2,32.36
O24-009239,CUST00314,P0002,West,0.31,706.02,118.2,2024-02-01,2,511.61
O24-001354,CUST00828,P0017,North,0.1,397.42,42.69,2024-06-30,2,220.79
O24-004878,CUST00436,P0012,South,0.18,83.31,15.95,2024-03-08,5,20.32
O24-007978,CUST00006,P0012,South,0.13,34.23,6.92,2024-04-04,2,19.67
O24-008654,CUST01492,P0007,North,0.1,1500.26,351.29,2024-12-01,8,208.37
O24-004569,CUST00951,P0043,West,0.07,187.07,33.88,2024-06-24,5,40.23
O24-005622,CUST00750,P0006,South,0.16,324.58,56.38,2024-05-07,1,386.41
O24-002174,CUST00871,P0018,West,0.09,1539.03,174.1,2024-03-19,4,422.81
O24-003916,CUST00412,P0044,East,0.04,73.25,14.23,2024-03-30,5,15.26
O24-009577,CUST00596,P0043,West,0.18,95.99,11.98,2024-09-14,3,39.02
O24-006400,CUST01296,P0046,West,0.07,11.46,2.1,2024-09-22,4,3.08
O24-008521,CUST01005,P0009,East,0.16,121.82,29.97,2024-02-13,6,24.17
O24-000551,CUST01126,P0040,West,0.06,41.85,7.76,2024-10-18,3,14.84
O24-007161,CUST00332,P0024,East,0.1,1176.77,223.09,2024-08-15,2,653.76
O24-002431,CUST00324,P0036,West,0.1,39.96,7.73,2024-06-12,2,22.2
O24-000783,CUST01497,P0013,North,0.04,115.26,28.42,2024-04-21,6,20.01041667
O24-008864,CUST01111,P0048,West,0.07,3.98,0.86,2024-07-18,2,2.14
O24-006321,CUST00932,P0008,West,0.21,911.3,193.06,2024-06-28,2,576.77
O24-008911,CUST00312,P0001,East,0.14,3846.37,946.62,2024-01-25,4,1118.13
O24-003205,CUST00866,P0003,East,0.2,1114.82,217.6,2024-08-11,1,1393.53
O24-002608,CUST00810,P0019,West,0.11,349.32,60.79,2024-01-04,1,392.49
O24-002375,CUST00337,P0022,South,0.24,1039.73,55.26,2024-02-02,2,684.03
O24-001383,CUST01168,P0009,East,0.08,169.28,40.52,2024-01-10,8,23
O24-005797,CUST01433,P0029,North,0.07,261.45,39.75,2024-11-29,1,281.13
O24-002767,CUST00627,P0007,West,0.11,538.27,121.44,2024-09-10,3,201.6
O24-007806,CUST01313,P0005,North,0.13,406.21,80.58,2024-06-12,1,466.91
O24-001469,CUST01212,P0025,North,0.05,1468.75,225.93,2024-01-30,3,515.35
O24-006526,CUST01330,P0038,West,0.17,22.97,3.81,2024-06-24,2,13.84
O24-002648,CUST00510,P0006,East,0.2,1645.36,453.39,2024-04-08,5,411.34
O24-009890,CUST00636,P0006,South,0.19,639.37,114.26,2024-10-17,2,394.67
O24-001501,CUST01442,P0040  ,North,0.15,13.29,1.29,2024-04-15,1,15.64
O24-003939,CUST01115,P0044,South,0.11,13.78,2.08,2024-09-05,1,15.48
O24-009249,CUST00640,P0040,East,0.26,22.38,3.74,2024-10-11,2,15.12
O24-002609,CUST01276,P0028,West,0.09,404.29,43.95,2024-11-30,1,444.28
O24-000515,CUST00431,P0006,East,0.14,3306.61,834.26,2024-11-08,10,384.49
O24-009174,CUST00144,P0041,West,0.1,27.5,5.07,2024-06-11,1,30.56
O24-006222,CUST00153,P0041,West,0.18,54.22,8.2,2024-08-06,2,33.06
O24-002539,CUST01014,P0042,North,0.08,28.82,5.83,2024-04-19,1,31.33
O24-004039,CUST00011,P0005,South,0.25,1008.09,155.4,2024-09-03,3,448.04
O24-009706,CUST01210,P0008,East,0.15,4013.5,1056.26,2024-03-16,8,590.22
O24-007794,CUST01239,P0021,West,0.01,223.54,36.08,2024-03-28,1,225.8
O24-002457,CUST01004,P0042,North,0.07,223.42,36.24,2024-05-28,8,30.03
O24-001447,CUST00008,P0011,East,0.1,156.04,37.36,2024-07-26,2,86.68888889
O24-006524,CUST00706,P0013,West,0.08,17.25,3.93,2024-07-02,1,18.75
O24-005600,CUST01471,P0016,East,0.01,65.12,15.45,2024-12-23,1,65.78
O24-006146,CUST00108,P0008,North,0.32,1162.43,166,2024-02-13,3,569.82
O24-001998,CUST00922,P0037,East,0.16,45.39,8.37,2024-01-07,4,13.51
O24-007966,CUST00105,P0001,West,0.07,1117.68,262.43,2024-07-29,1,1201.81
O24-005317,CUST00456,P0017,North,0.18,342.83,62.82,2024-03-17,2,209.04
O24-005618,CUST00738,P0017,East,0.15,183.9,18.97,2024-11-18,1,216.35
O24-009682,CUST01271,P0009,East,0.05,21.27,5.5,2024-12-16,1,22.39
O24-005685,CUST00140,P0008,West,0.03,1177.06,311.36,2024-01-30,2,606.73
O24-001489,CUST00264,  P0010,East,0.15,159.53,42.5,2024-03-30,2,93.84
O24-002103,CUST00511,P0018,West,0.04,826.06,117.06,2024-06-27,2,430.24
O24-004041,CUST00534,P0044,South,0.22,12.24,1.5,2024-03-21,1,15.69
O24-008891,CUST00020,P0029,South,0.36,710.48,7.33,2024-08-10,4,277.53
O24-002446,CUST01163,P0046,West,0.06,2.77,0.45,2024-03-06,1,2.95
O24-001058,CUST00126,P0004,East,0,5434.68,1630.4,2024-10-30,6,905.78
O24-005357,CUST00804,P0003,South,0.29,5183.43,908.38,2024-10-13,5,1460.121127
O24-001601,CUST01362,P0005,East,0.15,1519.94,292.36,2024-08-09,4,447.04
O24-006737,CUST00630,P0001,South,0.21,1780.28,309.72,2024-07-10,2,1126.76
O24-005264,CUST00739,P0023,West,0.38,662.93,34.67,2024-07-25,4,267.31
O24-000916,CUST01439,P0034,South,0.11,37.42,5.9,2024-12-13,4,10.51
O24-000327,CUST00376,P0023,North,0.16,434.68,41.07,2024-05-20,2,258.74
O24-004604,CUST00902,P0006,West,0.09,993.09,226.32,2024-10-31,3,363.77
O24-009419,CUST00448,P0032,South,0.15,1211.58,84.77,2024-11-20,3,475.13
O24-003979,CUST00776,P0022,North,0.35,460.66,6.45,2024-12-26,1,708.7
O24-000753,CUST00812,P0040,West,0.15,37.48,6.09,2024-06-30,3,14.7
O24-003915,CUST01225,P0030,West,0.08,464.28,76.41,2024-06-06,5,100.93
O24-008511,CUST00529,P0041,North,0.11,114.2,22.21,2024-10-29,4,32.08
O24-004397,CUST00716,P0022,East,0.05,633.49,86.59,2024-10-22,1,666.83
O24-002806,CUST00650,P0047,East,0.04,9.72,1.7,2024-11-07,1,10.13
O24-007048,CUST00644,P0048,West,0.09,12.39,2.31,2024-11-26,6,2.27
O24-005055,CUST00618,P0035,North,0.19,3.17,0.5,2024-02-29,1,3.91
O24-000247,CUST00108,P0001,East,0.09,996.96,259.52,2024-03-07,1,1095.56
O24-007523,CUST00137,P0024,North,0.16,2759.23,409.5,2024-08-29,5,656.96
O24-007347,CUST00652,P0011,East,0.07,81.77,20.87,2024-01-12,1,87.93
O24-000676,CUST01129,P0037,West,0.08,23.86,3.9,2024-12-03,2,12.97
O24-001939,CUST01427,P0022,East,0.18,2737.57,282.56,2024-10-08,5,667.7
O24-003528,CUST01365,P0015,East,0.18,85.44,18.97,2024-08-01,2,52.1
O24-006050,CUST01427,P0006,North,0,1174.8,318.34,2024-09-09,3,391.6
O24-005382,CUST01194,P0009,North,0.19,96.19,21.99,2024-02-15,5,23.75
O24-000297,CUST01024,P0012,East,0.31,13.54,2.44,2024-09-21,1,19.63
O24-002028,CUST01358,P0043,East,0.16,32.84,4.93,2024-12-29,1,39.1
O24-001497,CUST00606,P0009,West,0.27,50.81,10.07,2024-05-04,3,23.2
O24-003201,CUST00608,P0020,South,0.18,1248.35,27.72,2024-06-09,6,253.73
O24-000763,CUST00997,P0020,East,0.08,257,31.07,2024-07-06,1,279.35
O24-000246,CUST00231,P0014,North,0,165.04,35.91,2024-09-05,4,41.26
O24-008990,CUST01430,P0017,West,0.01,1559.32,233.02,2024-06-14,7,225.01
O24-000112,CUST00500,P0034,North,0.16,25.86,5.51,2024-11-19,3,10.26
O24-008202,CUST00001,P0004,South,0.4,557.49,69.9,2024-02-12,1,929.15
O24-002980,CUST00310,P0019,North,0.06,1144.41,160.28,2024-04-01,3,405.82
O24-002002,CUST00768,P0001,East,0.13,8525.3,1698.13,2024-01-01,8,1224.9
O24-004097,CUST01306,P0016,South,0.2,102.37,17.11,2024-05-22,2,63.98
O24-008602,CUST01052,P0040,South,0.13,69.82,13.03,2024-10-15,5,16.05
O24-008879,CUST01111,P0019,East,0.09,739.88,132.76,2024-12-12,2,406.53
O24-008707,CUST00306,P0006,North,0.36,510.02,98.15,2024-05-08,2,398.45
O24-005808,CUST00266,P0022,West,0.06,639.09,80.55,2024-02-02,1,679.88
O24-009282,CUST01173,P0010,South,0.14,77.41,16.17,2024-02-13,1,90.01
O24-008283,CUST00345,P0046,West,0.17,4.91,0.85,2024-09-22,2,2.96
O24-004595,CUST00598,P0030,East,0.1,383.58,47.59,2024-09-25,4,106.55
O24-003782,CUST01081,P0032,North,0.35,886.43,31.17,2024-05-19,3,454.58
O24-007326,CUST00323,P0017,South,0.35,135.1,5.56,2024-05-29,1,207.85
O24-004335,CUST00318,  P0048,East,0.08,8.06,1.19,2024-11-13,4,2.19
O24-002569,CUST00619,P0010,West,0.12,780.38,198.37,2024-06-03,10,88.68
O24-002514,CUST01491,P0033,North,0.08,35.69,8.41,2024-01-31,3,12.93
O24-001259,CUST00230,P0036,South,0,39.46,5.22,2024-06-07,2,22.17
O24-006354,CUST00050,P0042,South,0.18,115.54,20.68,2024-04-28,5,28.18
O24-001995,CUST00563,P0045,South,0.15,4.57,0.52,2024-10-08,2,2.69
O24-006301,CUST01195,P0015,East,0.02,208.11,51.18,2024-12-07,4,53.09
O24-001265,CUST00648,P0045,West,0.09,9.79,1.55,2024-03-10,4,2.69
O24-007714,CUST00331,P0040,North,0.1,27.61,4.56,2024-12-20,2,15.34
O24-000890,CUST00679,P0031,East,0,279.76,46.54,2024-09-20,1,279.76
O24-009445,CUST01424,P0018,North,0.18,1055.36,123.42,2024-11-09,3,429.01
O24-001674,CUST00533,P0047,West,0.01,10.49,2.04,2024-06-18,1,10.6
O24-000261,CUST01490,P0010,West,0.12,587.23,114.48,2024-06-13,7,95.33
O24-000363,CUST00527,P0006,North,0.23,2273.04,394.31,2024-06-06,8,369
O24-003864,CUST00065,P0012  ,West,0.08,18.17,5.06,2024-12-05,1,19.75
O24-001359,CUST00487, P0016 ,East,0.04,237.66,60.09,2024-05-25,4,61.89
O24-005437,CUST01087,P0047,South,0.16,8.76,1.12,2024-09-30,1,10.43
O24-000059,CUST00042,P0001,South,0.17,3852.69,795.1,2024-11-17,4,1160.45
O24-008391,CUST01483,P0017  ,North,0.13,571.96,69.93,2024-12-08,3,219.14
O24-007844,CUST00213,P0026,North,0.19,3186.48,413.78,2024-11-20,8,491.74
O24-007587,CUST00689,P0009,East,0.15,20.63,5.39,2024-06-15,1,24.27
O24-009998,CUST00019,P0043,West,0.14,168.73,26.72,2024-01-04,5,39.24
O24-001620,CUST00698,P0009,East,0.14,103.16,23,2024-07-11,5,23.99
O24-006587,CUST00453,P0028,South,0.1,425.4,60.36,2024-02-22,1,472.67
O24-004828,CUST00450,P0046,East,0.05,2.9,0.65,2024-02-01,1,3.05
O24-002146,CUST00134,P0039,North,0.07,80.07,16.24,2024-08-09,6,14.35
O24-004971,CUST01048,P0028,North,0.14,372.26,51.85,2024-01-11,1,432.86
O24-001431,CUST01462,P0044,North,0.14,13.42,2.45,2024-10-13,1,15.61
O24-000923,CUST00842,P0006,West,0.04,1453.29,351.45,2024-09-21,4,378.46
O24-000047,CUST00314,P0035,North,0.06,11.73,2.05,2024-07-10,3,4.16
O24-008983,CUST00862,P0007,South,0.12,745.4,135.74,2024-07-01,4,211.76
O24-009414,CUST01442,P0046,South,0.1,2.74,0.4,2024-07-09,1,3.05
O24-004986,CUST00080,P0035,North,0.1,3.65,0.74,2024-10-12,1,4.06
O24-003940,CUST01360,P0013,South,0.07,147.31,30.47,2024-09-14,8,19.8
O24-002128,CUST01419,P0013,West,0.05,142.65,35.05,2024-06-26,8,18.77
O24-003931,CUST00263,P0004,East,0.27,1937.16,410.58,2024-11-14,3,884.55
O24-003750,CUST01246,P0034,East,0.09,27.33,4.55,2024-09-26,3,10.01
O24-008355,CUST00039,P0010,East,0.12,325.46,87.33,2024-08-26,4,92.46
O24-006688,CUST00046,P0004,East,0.16,2341.08,562.71,2024-11-26,3,929
O24-009044,CUST01277,P0044,East,0.08,28.72,4.79,2024-10-11,2,15.61
O24-005899,CUST00152,P0030  ,East,0.04,104.52,18.02,2024-12-21,1,108.88
O24-005175,CUST01122,P0026,West,0.04,2426.93,285.79,2024-10-29,5,505.61
O24-005267,CUST00125,P0047,East,0.14,70.45,8.56,2024-10-22,8,10.24
O24-008127,CUST00290,P0006,South,0.15,2511.38,342.45,2024-08-13,8,369.32
O24-000505,CUST00011,P0013,East,0.23,78.46,16.07,2024-11-01,5,20.38
O24-000884,CUST00638,P0032,North,0.1,436.68,53.46,2024-04-07,1,485.2
O24-007900,CUST00746,P0046,North,0.2,2.43,0.36,2024-06-10,1,3.04
O24-001322,CUST00060,P0015,North,0.14,90.23,22.34,2024-03-02,2,52.46
O24-002581,CUST00039,P0035,North,0.17,6.67,1.06,2024-07-30,2,4.02
O24-009032,CUST01455,P0002,North,0.14,4617.94,1059.39,2024-11-30,10,536.97
O24-003590,CUST01492,P0014,East,0.08,185.15,37.27,2024-12-17,5,40.25
O24-000047,CUST00314,P0035,North,0.06,11.73,2.05,2024-07-10,3,4.16
O24-009168,CUST00936,P0008,West,0.15,1455.03,320.82,2024-11-02,3,570.6
O24-005947,CUST00008,P0035,North,0.18,6.76,1.27,2024-09-03,2,4.12
O24-002262,CUST00055,P0025,East,0.12,897.93,111.8,2024-11-19,2,510.19
O24-002790,CUST00203,P0024,East,0.11,1138.84,187.23,2024-06-11,2,639.8
O24-005004,CUST01117,P0033,North,0.06,13.04,2.36,2024-02-04,1,13.87
O24-009795,CUST01413,P0020,East,0.12,247.43,32.74,2024-07-11,1,281.17
O24-007948,CUST00045,P0021,North,0.15,546.36,86.28,2024-12-15,3,214.26
O24-006129,CUST00174,P0009,South,0.17,63.15,13.97,2024-03-24,3,25.36
O24-002055,CUST00300,P0004,West,0.02,906.67,245.56,2024-12-30,1,925.17
O24-007435,CUST00320,P0038,North,0.24,40.28,7.51,2024-12-19,4,13.25
O24-006166,CUST00011,P0022,West,0.1,582.38,71.97,2024-01-07,1,647.09
O24-005780,CUST00857,P0018,West,0.24,626.54,58.62,2024-11-29,2,412.2
O24-008246,CUST00531,  P0008,South,0.18,481.59,89.18,2024-07-29,1,587.3
O24-004488,CUST00670,P0014,West,0.25,124.86,26.1,2024-06-16,4,41.62
O24-009097,CUST00847,P0027,North,0.05,357.93,48.89,2024-07-14,3,125.59
O24-009261,CUST01026,P0026,North,0.31,339.3,24.61,2024-01-27,1,491.74
O24-008453,CUST00766,P0027,West,0.05,476.82,70.79,2024-06-15,4,125.48
O24-005295,CUST00345,P0047,East,0.21,8.34,1.42,2024-04-16,1,10.56
O24-003186,CUST00561,P0008,East,0.05,2215.48,530.83,2024-12-07,4,583.02
O24-004029,CUST00734,P0033,North,0.13,93.75,17.5,2024-12-26,8,13.47
O24-005543,CUST00278,P0004,North,0.21,715.79,148.78,2024-12-02,1,906.06
O24-003190,CUST01480,P0034,North,0.28,38.48,4.1,2024-07-22,5,10.69
O24-007583,CUST00540,P0009,North,0.01,46.21,11.48,2024-03-09,2,23.34
O24-006429,CUST00932,P0007,East,0.08,735.26,173.64,2024-08-24,4,199.8
O24-009532,CUST01377,P0013,South,0.13,31.88,5.93,2024-05-12,2,18.32
O24-000680,CUST00243,P0039,East,0.16,59.14,9.98,2024-07-25,5,14.08
O24-007412,CUST01404,P0004,East,0.07,838.68,209.64,2024-11-16,1,901.81
O24-002737,CUST00593,P0006,East,0.34,769.9,150.57,2024-04-03,3,388.84
O24-000589,CUST00707,P0043,North,0.2,126.37,18.15,2024-06-19,4,39.49
O24-007630,CUST00145,P0046,South,0.15,21.62,2.89,2024-11-18,8,3.18
O24-009581,CUST00713,P0015,East,0.06,50.89,11.44,2024-01-15,1,54.14
O24-002552,CUST00265,P0004,West,0.03,2568.22,647,2024-06-21,3,882.55
O24-002524,CUST00890,P0044,West,0.1,13.87,2.79,2024-06-23,1,15.41
O24-005202,CUST00007,P0037,South,0.34,9.06,0.69,2024-11-03,1,13.73
O24-000444,CUST01277,P0007,North,0.33,541.36,100.04,2024-09-02,4,202
O24-002117,CUST00380,P0018,North,0.11,1143.61,160.16,2024-10-27,3,428.32
O24-007725,CUST00800,P0033,North,0,21.23,3.23,2024-03-23,2,12.06
O24-001234,CUST00379,P0034,West,0.14,25.67,4.31,2024-04-22,3,9.949612403
O24-003442,CUST00019,P0002,South,0.15,911.8,143.36,2024-06-27,2,536.35
O24-002592,CUST00300,P0011,South,0.29,240.69,41.67,2024-01-06,4,84.75
O24-009363,CUST01272,P0047,West,0.33,42.01,4.42,2024-06-06,6,10.45
O24-002241,CUST00772,P0045,West,0.08,7.42,1.34,2024-11-20,3,2.69
O24-008161,CUST01180,P0046,South,0.2,2.5,0.28,2024-08-02,1,3.12
O24-007215,CUST00745,  P0046,North,0.13,2.71,0.45,2024-09-21,1,3.11
O24-000127,CUST01025,P0014,East,0.07,112.16,26.95,2024-11-30,3,40.2
O24-008017,CUST00921,P0005,North,0.06,1697,424.78,2024-01-31,4,451.33
O24-009634,CUST00785,P0010,West,0.01,266.47,68.29,2024-03-28,3,89.72
O24-009326,CUST00507,P0040,West,0.11,28.68,4.13,2024-08-07,2,16.11
O24-002997,CUST01366,P0028,North,0.09,2016.79,325.72,2024-12-17,5,443.25
O24-002479,CUST00815,P0048,South,0.07,2.04,0.38,2024-07-24,1,2.19
O24-004997,CUST00337,P0033,South,0.15,34.68,4.33,2024-06-17,3,13.6
O24-009388,CUST00467,P0006,South,0.12,1348.93,278.95,2024-04-21,4,383.22
O24-000087,CUST00894,P0020,North,0.18,441.67,65.69,2024-09-10,2,269.31
O24-005318,CUST01204,P0035,West,0.11,35.69,7.67,2024-12-21,10,4.01
O24-001428,CUST00939,P0010,West,0.09,506.2,119.78,2024-11-22,6,92.71
O24-009205,CUST00133,P0016,East,0.05,255.32,65.28,2024-01-09,4,67.19
O24-001724,CUST00305,P0030,West,0.23,159.28,17.03,2024-06-08,2,103.43
O24-009809,CUST00284,P0010,West,0.24,143.31,32.17,2024-03-19,2,94.28
O24-005360,CUST01386,P0008,West,0.04,1139.94,282.42,2024-12-17,2,593.72
O24-005339,CUST01441,P0015,South,0.16,89.07,20.96,2024-03-17,2,53.02
O24-008196,CUST01359,P0013,North,0.3,26.64,5.48,2024-10-22,2,19.03
O24-004975,CUST00763,P0032,East,0.17,805.03,91.48,2024-06-30,2,484.96
O24-006112,CUST00755,P0020,North,0.14,439.84,54.82,2024-02-24,2,255.7209302
O24-004468,CUST00047,P0027,West,0,374.25,50.11,2024-07-15,3,124.75
O24-003761,CUST01405,P0046,East,0.02,8.94,1.98,2024-07-26,3,3.04
O24-009054,CUST00474,P0022,North,0.16,2796.32,419.05,2024-08-01,5,665.79
O24-003093,CUST00225,P0017,East,0.37,406.07,35.18,2024-03-16,3,214.85
O24-005158,CUST01438,P0041,East,0.13,27.81,4.94,2024-01-20,1,31.96
O24-001148,CUST00374,P0014,South,0.15,34.23,5.2,2024-10-21,1,40.27058824
O24-006275,CUST01300,P0001,East,0.08,1064.93,266.93,2024-04-05,1,1157.53
O24-000420,CUST01114,P0032,North,0.08,852.6,132.71,2024-04-14,2,463.37
O24-008315,CUST00254,P0004,East,0.25,3365.89,848.03,2024-11-01,5,897.57
O24-007938,CUST00847,P0028,East,0.16,778.26,102.17,2024-01-25,2,463.25
O24-007163,CUST00649,P0002,West,0.12,904.31,210.2,2024-02-08,2,513.81
O24-003054,CUST00420,P0046  ,East,0.34,1.92,0.24,2024-07-30,1,2.91
O24-000293,CUST01176,P0013,West,0.08,95.5,25.24,2024-07-16,5,20.76
O24-000697,CUST00388,P0006,East,0.06,367.23,77.16,2024-07-11,1,390.67
O24-000987,CUST00658,P0020,East,0,529.34,94.65,2024-06-14,2,264.67
O24-002326,CUST00732,P0003,North,0.16,2342.37,492.19,2024-09-06,2,1394.27
O24-000326,CUST00700,P0041,West,0.02,129.16,26.94,2024-04-07,4,32.95
